Job.ID,Provider,Status,Slug,Title,Position,Company,City,State.Name,State.Code,Address,Latitude,Longitude,Industry,Job.Description,Requirements,Salary,Listing.Start,Listing.End,Employment.Type,Education.Required,Created.At,Updated.At
294845,2,open,lake-forest-il-knowledge-universe-site-director,Site Director @ Knowledge Universe,Site Director,Knowledge Universe,Lake Forest,Illinois,IL,,42.2369,-87.8684,,"Job Summary Knowledge Universe (KU) Site Directors are site leaders who inspire children and teachers alike to learn and grow. They are passionate about educational excellence, and confident teaching children and adults. They use our nationally recognized curriculum as a framework to create unique and engaging classroom experiences. They are committed to making their site successful and know that meaningful relationships with children, families, and their team are important to success. They are fully engaged, enthusiastic about their work, and eager to share their knowledge with others.  Job Responsibilities and Essential Functions These are the basic expectations for Site Directors. Of course, creative and new ways to meet or exceed expectations are encouraged, so long as the required essential functions are also met. •         supervision of children and staff  •         record keeping  •         licensing records and child files  •         lesson planning and implementation  •         maintenance of safe and welcoming classroom environment  •         building of relationships with the community and school  •         recruiting new students to the program  •         applicant must have strong organizational skills ",,,30-03-2015,29-04-2015,Part-Time,Not Specified,2015-03-31 10:13:55 UTC,2015-03-31 10:13:55 UTC
265365,2,open,reno-nv-officeteam-administrative-assistant-265365,Administrative Assistant @ OfficeTeam,Administrative Assistant,OfficeTeam,Reno,Nevada,NV,,39.5263,-119.8124,,"Ref ID: 03110-118480Classification: Secretary/Admin AsstCompensation: $11.40 to $13.20 per hourI would like to have you place an administrative assistant with Corporate Direct, Inc. The location will be 348 Mill Street, Reno, NV 89501. This is an entry level position and we will pay $12/hr. The perfect candidate will be a team player with excellent phone, organizational, verbal and written communication skills. The applicant should have good computer skills and a strong knowledge of Word. I would like to interview candidates next week probably Thursday morning in our office on Mill Street. I will appreciate it if you will make some recommendations and gather resumes for me to review. I look forward to hearing from you Monday or Tuesday.",,,09-03-2015,08-04-2015,Seasonal/Temp,Not Specified,2015-03-10 10:08:36 UTC,2015-03-10 10:08:36 UTC
305868,2,open,chi-payment-systems-account-manager-305868,Account Manager @ CHI Payment Systems,Account Manager,CHI Payment Systems,,,,,0.0,0.0,,"If you&rsquo;re energetic, motivated, hardworking, and looking for a prosperous occupation, CHI Payment Systems is exactly what you are looking for in an employer and career! CHI Payment Systems makes the dream of owning your own business and earning a six-figure income reality! &nbsp;
&nbsp;
CHI Payment Systems utilizes independent Sales Agents across the United States to set up new and existing businesses with the ability to accept credit card transactions.&nbsp; We are a juggernaut in the merchant services industry and we enable our Agents to offer the most competitive rates and fees to prospective merchants.&nbsp; We also provide a superior level of support to all of our valued businesses that we set up with merchant services.&nbsp;&nbsp;


CHI Payment Systems is comprised of a seasoned management team with over two decades of experience in the merchant services industry.&nbsp; We are dedicated to training, supporting, and motivating our Sales Agents.&nbsp; We arm all of our Agents with the skills and techniques needed to dominate the competition.&nbsp; We also incentivize our Agents with an extremely aggressive commission structure which includes bonuses in addition to residual payouts on the accounts they set up.
Your success is our success!



Our Independent Agent Recruiting Department is open from&nbsp;7am until 6pm Pacific Time, Monday through Friday.&nbsp; We look forward to speaking with you!

&nbsp;
&nbsp;

",,,06-04-2015,05-05-2015,Full-Time/Part-Time,High School Diploma,2015-04-07 10:23:20 UTC,2015-04-07 10:23:20 UTC
275898,2,open,aurora-il-river-front-chrysler-jeep-dodge-outside-wholesale-sales-rep-part-time,Outside Wholesale Sales Rep (PART-TIME) @ River Front Chrysler Jeep Dodge,Outside Wholesale Sales Rep (PART-TIME),River Front Chrysler Jeep Dodge,Aurora,Illinois,IL,,41.75695,-88.31577,,"OUTSIDE WHOLESALE SALES REP

Job Responsibilities:


    Sales Representatives complete extensive training regarding the product line. (Chrysler, Jeep, Dodge & Ram)
    As a Sales Representative, you will spend time with customers to determine their needs and discusses vehicle options 
    Sales Representatives test drive vehicles to demonstrate automotive features 
    Sales Representatives will complete quotes, return email/voicemail, other administrative functions to include running credit applications and processing transaction paperwork 
    Support on-line customers through our eSales office 
    Follow up with existing and potential customers to generate leads and close sales 


If you are looking to start or advance your career in sales, this is the opportunity you've been looking for. We offer competitive compensation and commission plans paired with 38 consecutive months of increasing sales volume have led to huge earning potential! River Front Chrysler Jeep Dodge is looking for Outside Wholesale Sales Representatives to join its sales team! Chrysler sales are up 11% since this time last year and 2015 is turning out to be the highest sales volume year since 2007! With 16 new vehicles launched in the 2015 model year alone, now is the time to join our winning sales team.

       

",,,16-03-2015,15-04-2015,Part-Time,Not Specified,2015-03-17 10:19:53 UTC,2015-03-17 10:19:53 UTC
263702,2,open,salt-lake-city-ut-captioncall-customer-service-rep-help-people-with-hearing-loss,Customer Service Rep- Help People with Hearing Loss! @ CaptionCall,Customer Service Rep- Help People with Hearing Loss!,CaptionCall,Salt Lake City,Utah,UT,,40.7595,-111.88823,," CaptionCall® Communication Assistant    Imagine life without the telephone. Millions of people in the United States have trouble hearing on the phone due to hearing loss. This is a real, everyday barrier. Thanks to CaptionCall, people who are hard-of hearing are able to read what a caller is saying when they are on the phone. We need Communication Assistants to help provide this important service. We are looking for bright, efficient, and energetic individuals who learn fast and have basic computer and typing skills. Speed, accuracy, and confidentiality are vital in this position to meet our goal to provide CaptionCall users the best experience possible on the phone. As part of the CaptionCall team, you are the crucial component in the process that improves the quality of life for people who have trouble hearing on the phone.   CaptionCall  ®, because life is calling.  Summary    We are seeking Communication Assistants (CA's) to caption telephone calls in our Salt Lake City, UT location. This is an entry level position with a growing, enthusiastic team. We are currently hiring for part-time positions. CaptionCall offers flexible scheduling to accommodate your lifestyle.  Essential Duties and Responsibilities    * Accurately dictate and caption a variety of conversational topics verbatim.   * Maintain a high level of speed and accuracy of dictation.   * Maintain strict consumer confidentiality.   * Complete other duties and projects as assigned.  Education, Experience and/or Skills Required    * High school diploma or equivalent, or call center experience.   * Must be 18 years or older.   * Must be able to type 30 WPM.   * Must be able to pass entry level dictation testing.   * Possess basic computer skills including knowledge of MS Windows.   * Knowledge of English language structure and content, including the meaning and spelling of words, rules of composition, and grammar.  Physical and Other Requirements:    * Ability to communicate effectively through reading, writing, speaking and listening.   * Ability to hear and speak clearly in order to effectively dictate.   * Ability to correct and edit text.   * Punctual and reliable attendance.   * Ability to work various shift assignments as influenced by customer demand.   * Provide excellent customer service by captioning exactly what is being said without any variation.   * Ability to sit and/or stand at a desk and work with a computer for extended periods of time.   * Have a positive attitude.   * Be a team player.  Equal Employment Opportunity:  CaptionCall® is an Equal Opportunity, Affirmative Action Employer We are an Equal Opportunity Employer. Please view Equal Employment Opportunity Posters provided by OFCCP here .",,,06-03-2015,05-04-2015,Full-Time/Part-Time,Not Specified,2015-03-07 10:18:08 UTC,2015-03-07 10:18:08 UTC
273124,2,open,atlanta-ga-accountemps-bookkeeper-273124,Bookkeeper @ Accountemps,Bookkeeper,Accountemps,Atlanta,Georgia,GA,,33.7919,-84.4464,,Ref ID:00900-140759Classification:BookkeeperCompensation:$13.00 to $15.00 per hourNon-profit located in West Midtown is seeking a Bookkeeper to join their team on a temporary to full-time opportunity. Responsibilities: Full-cycle accounts payable Accounts Receivables Assist with Payroll Requirements 3+ years of experience Recent Experience utilizing Great Plains Intermediate Excel Skills Experience utilizing ADP Please send your resume to be considered to [Click Here to Email Your Resumé],,,13-03-2015,12-04-2015,Seasonal/Temp,Not Specified,2015-03-14 10:13:59 UTC,2015-03-14 10:13:59 UTC
313363,2,open,plantation-fl-hca-east-florida-nuclear-medicine-tech-prn-313363,Nuclear Medicine Tech PRN @ HCA-East Florida,Nuclear Medicine Tech PRN,HCA-East Florida,Plantation,Florida,FL,,26.113,-80.2256,,"Job DescriptionNuclear Medicine Tech PRN(Job Number:00056-5658)Work Location:United States-Florida-Plantation-Plantation General Hospital - Fort Lauderdale AreaSchedule:PRN/Per DiemDescriptionNuclear Medicine Technologist PRN Plantation General HospitalPlantation, FL Facility Description:Plantation General Hospital is a full-service facility that is fully accredited by The Joint Commission and has been providing a range of healthcare services to residents of Plantation and Central Broward County for 45 years. Our nationally recognized centers of excellence specialize in maternity, high risk maternity; pediatrics, pediatric intensive care and Level III neonatal intensive care have earned us a distinguished reputation for quality. Plantation General Hospital is recognized by The Joint Commission as a Primary Stroke Center and as a Center of Excellence in Neonatal services, one of the only three in the nation. We deliver the very best care to our communities and the patients we serve. Plantation General Hospital is a member of the nation’s leading provider of healthcare services, Hospital Corporation of America. HCA Ranks on Fortune’s list of Most Admired Companies for three consecutive years. In addition, HCA has also been named one of Ethisphere’s World’s Most Ethical Companies for four consecutive years. Join our tradition of excellence! Benefits:We offer a generous compensation package for Full-time and Part-time including: vacation, 401k, and Medical Insurance.  Job Description: Performs those duties directly involved with administering a variety of nuclear isotopes for the purpose of scanning for and detecting pathology.  Regulates the equipment used to scan for the isotope and send images to PACS.  Assists in the daily operation of the Nuclear Medicine Department.  Establishes and maintains a good rapport and professional relationship with fellow employees.  Reports to the Supervisor.  QualificationsQualifications:               FL State License as Nuclear Medicine Technologist or General RadiographerAmerican Registry of Radiologic Technologist Nuclear or Nuclear Medicine Technology Certification BoardBasic Life Support CPR Graduate of an Accredited program in Nuclear Medicine Registered with the American Registry of Radiologic Technology ARRT (N) or  Nuclear Medicine Technology Certification Board- NMTCB  PI89603757",,,13-04-2015,12-05-2015,Per Diem,Not Specified,2015-04-13 10:02:32 UTC,2015-04-13 10:02:32 UTC
140541,2,open,santa-clara-ca-officeteam-construction-project-admin-needed-asap,Construction Project Admin Needed ASAP! @ OfficeTeam,Construction Project Admin Needed ASAP!,OfficeTeam,Santa Clara,California,CA,,37.3934,-121.9655,,"Ref ID: 00160-9715006Classification: Office/Administrative Supervisor/MgrCompensation: $15.00 to $18.00 per hourOfficeTeam is looking for an Administrative Assistant for a Construction company in the Silicon Valley. The candidate MUST be highly organized, flexible, able to work independently and as part of a team and multi-task in a constantly changing environment. This Administrative Assistant requires strong communication skills and the ability to work efficiently under pressure. This position will report directly to the project Superintendent. Must have 2-5 years of experience in the construction environment! Essential Duties and Responsibilities include, but may not be limited to the following: -Data entry -Faxing/scanning/copying -Ordering supplies -Organize and maintain the office",,,12-08-2014,01-07-2015,Seasonal/Temp,Not Specified,2014-12-09 11:47:01 UTC,2014-12-09 11:47:01 UTC
146459,2,open,marysville-oh-accountemps-accounting-clerk,Accounting Clerk @ Accountemps,Accounting Clerk,Accountemps,Marysville,Ohio,OH,,40.2637,-83.3629,,"Ref ID:03410-110048Classification:Accounting ClerkCompensation:$13.77 to $15.95 per hourAccountemps is searching for an Accounting Clerk for a client located northwest of Columbus. The Accounting Clerk will be responsible for handling a variety of accounting related duties including, processing invoices, analyzing inventory reports, producing financial statements, resolving vendor conflicts, and several other general accounting duties. The ideal candidate will have a bachelor's degree in accounting or a related field and 1+ years experience in a related position. Experience within a manufacturing company is also desired as well as excellent computer skills. This position would give the candidate exposure to the accounting department for an industry leader. If this ""foot in the door"" opportunity sounds like the job for you, contact Chris Kagy at 614.471.5536 or via email at [Click Here to Email Your Resumé].",,,12-10-2014,01-09-2015,Seasonal/Temp,Not Specified,2014-12-11 12:17:06 UTC,2014-12-23 13:29:22 UTC
147038,2,open,birmingham-al-murphy-usa-cashier-147038,CASHIER @ Murphy USA,CASHIER,Murphy USA,Birmingham,Alabama,AL,,33.52029,-86.8115,,"When is a job more than “just a job?”•When you know that you are making a difference in the lives of those around you•When you go to work every day looking forward to the day ahead of you•When the decisions you make on the job really matter to those whom you serve Cashier Whether your goal is to begin a fantastic full-time career or have a great part-time job, your talents will be valued and respected at Murphy USA.  To be successful as a cashier, you need energy, an excellent work ethic, a great attitude and a smile. You will be the face of our company and deliver the legendary customer service that Murphy USA and our associates are known for providing. Your responsibilities will include:•Providing a prompt, efficient, and courteous customer experience•Responding and resolving customer’s requests and concerns•Assisting customers with purchases and fuel transactions•Operating cash register•Restocking merchandise•Performing job related duties as assignedA job is more than just a job when it’s a career at Murphy USA. Murphy understands that a career is about much more than a paycheck and benefits. That’s why we do our best to provide the most supportive and enjoyable atmosphere possible for our employees. Here are just a few reasons why Murphy USA is a great career choice:Enjoy your work!Murphy USA offers a fast paced environment where bright, talented individuals who are willing to work hard are valued and can make a difference. Flexible Schedule!Murphy USA can help you schedule your work around your busy life. Advancement Opportunities!Murphy USA operates over 1,000 locations in over 20 states and is adding new locations every year. The growth provides career advancement opportunities for top performing team members. Earn your degree!All employees who average 20 hours or more per week are eligible for educational assistance offered by Murphy USA.",,,12-10-2014,01-09-2015,Part-Time,Not Specified,2014-12-11 12:22:12 UTC,2014-12-11 12:22:12 UTC
